lang,source,translation
kjh,а стажым кӧмес ле.,а стаж у меня маленький.
xas,a dĭ koʔbdo măndə: ,а та девушка говорит:
mhr,"[2] кочса, кочса.","[2] ешьте, ешьте."
kjh,"вот такие… но, всё равно интересно полған.",вот такие… но всё равно интересно было.
kjh,"[smm1950f] если син ам, ниме…",[smm1950f] если ты сейчас…
xas,"""iʔ saʔmaʔ"". ","""не падай!"""
mhr,но кугыза шелеш кувам.,но бабушку он ударяет.
mhr,"шондем пешак йога,","моча стекает,"
mhr,"в воскресенье утром пришли, а понедельник, по= понедельник у= ут=, э... вторник утром я уж замуж вышла.","в воскресенье утром пришли, а понедельник, э... вторник утром я уж замуж вышла."
mhr,[2] тыгай манеш.,[2] вот так.
xas,dĭgəttə dĭzeŋ šolaʔbəʔjə. ,они идут.
mhr,[2] тиде вара матвеевшын йодаш ок лий мо?,[2] у матвеева нельзя спросить это самое?
xas,kabarləj. ,хватит!
kjh,"как сенокос идти, туда смотрят.","туман вышел или не вышел, сумкин лог."
kjh,"аны целая история, хайди чоохтар [<?>]?","это целая история, как рассказать?"
kjh,[erk1927f] «ӱс муң сых парча» тіпче «взад-вперёд ездить» тіпче.,[erk1927f] «три тысячи выходит» говорит «взад-вперёд ездить» говорит.
kjh,[avd1959f] абам украинадаң.,
xas,"kumən xotʼ (m-), üge bĭtleʔbəʔjə, bĭtleʔbəʔjə, išo pileʔbəʔjə. ","хоть сколько [есть], они пьют и пьют, потом ищут еще."
mhr,м-м-м.,м-м-м.
xas,eneidənə. ,черт.
evn,ну и эмэпчо̄тын нуӈанман ербэкэдӯ.,ну и привезли его в ербогачен.
xas,i bădəbiʔi bostə bar. ,и кормили.
bak,"alarðəŋ jäšäw waqəttarə beðgä qaraɣanda oðon, meŋ jəl jarəm, meŋ jəl.","продолжительность их жизни по сравнению с нами длинная, полторы тысячи лет, тысяча лет."
kjh,и на улице и дома электричество горит.,
bak,barəp horašərəɣəð.,"когда приедете, спросите."
bak,əšəqlanəw ösön urən bulmaɣan məna.,места чтобы укрыться не было там.
xas,(bü) ((dmg)) (de-) detləbəj. ,воду привезем.
kjh,[sjt1964f] а дети все здесь или куда-то разъехались?,
bak,äwðände beläŋme?,эвзян знаешь?
xas,simandə xatʼel izittə. ,хотела купить очки.
kjh,мында как раз анартын хас килген оймах піди килген теегі топоев именің огород тӧзінӌе.,здесь как раз оттуда выкопанная яма шла по краю огорода тех топоевых.
evn,тар амӣӈаhав эмэрэн омолгӣнун {степан тыптагир}.,отец покойный приехал с молодым человеком {степан тыптагир}.
kjh,соглашаюсь.,
mhr,ала-мом пален омыл мый латынскиет ден…,что-то я не знала по-латыни…
evn,"городтула̄ индям, дудинкадӯ.","в городе живу, в дудинке."
kjh,"и аннаң андар алдыра, хаңаалығ шыыли халчазың.",и туда дальше на телеге уезжаешь.
kjh,как раз инихина сашка зашёл олох времяда.,"ну, они с ромой вместе общаются."
xas,(baʔluʔ-) baʔgaʔ dĭm. ,"""выбросьте его [прочь]!"
mhr,тудым шарнем и больше <ом шарне>.,то помню и больше не помню.
bak,"ну olo äbej häbejðär, ololar üððäre pensija alalar, moxtaž tügel.","ну старые старушки разные, старые (люди) получают пенсию, не нуждаются."
kjh,"о-ой, миизі чох хара сабан.","о-ой, безмозглый глухарь."
kjh,"ну, піди сағынғанда ортох же?","ну, если так подумать, правильно же?"
xas,dĭzeŋ bünə öʔluʔpiʔi. ,их пустили по реке.
xas,(me-) menzeŋdə šide. ,две его собаки.
bak,"""min äbejðän =dä qastəm, babajðan =da qastəm, xäðer hinän =dä qasam"".","я от бабушки убежал, я от дедушки убежал, сейчас от тебя убегу."
kjh,"анарда изікке хыырғамда, у-у жёлобта пызаа пыӌыхтаплача.","потом, когда к двери подозвала, у-у, в желобе теленок плещется."
kjh,ол михаил харындас пір хазыра ағыл соххан.,этот брат михаил одну телку заколол.
kjh,[erk1927f] н-н.,[erk1927f] н-н.
bak,tön bujə qajtqandar.,всю ночь возвращались домой.
xas,"""iʔ amaʔ măna! ","""не ешь меня!"
bak,ul aqsanə šul tiklem küp üðläštergän häm šul aqsanə... üðeneŋ bergä ešlägän kešehenä čektarðə birep tora...,"она до того много присвоила денег, и эти деньги... дает чеки своему человеку, который работал вместе [с ней]..."
kjh,"інге дее саптап полбинчам, пір дее име итпинчем.","даже нитку в иголку вдеть не могу, ничего не делаю."
kjh,"гаврил мында, име, пай чуртаан.","гаврил здесь, это, богато жил."
xas,budəj ipek kuʔpiʔi. ,…они посеяли пшеницу.
kjh,сразу монголецтің ханын тӱзірӧк аттыр нізе хаңза пиг.,монгольского хана тоже сразу сразил наповал ханза пиг.
mhr,"мый чечас имньым туарем да кушкыжам да каем,","я сейчас распрягу лошадь и верхом на лошади поеду,"
kjh,"[lmp1941f] абамны ха… я, чоохтанӌаң полтыр, аны даа мин кӧрбеем, карточказын на кӧргем.","[lmp1941f] отец…	да, говорил вроде – я же его не видела, карточку только его видела."
