id,lang,source,translation
5116,evn,"дептилэлэ к..., дептилэлвэ ирук... ируктэдаңкӣтин орордӯ турудук кислокандула̄ биралӣ туңускалӣ.
				",продукты возили на оленях из туры в кислокан по реке тунгуске.
5117,bak,šunan inde ul ujlaɣan inde äbjälil ulaj tip kütärep jörötä almaθ ul attə tip.,"потом он думал, что абзелил, мол, не сможет так поднять и носить этого коня."
5118,kjh,"олардың сахчаң име полған, спичка чох полған.","у них была штука для высекания, спичек не было."
5119,xas,ordə eššim. ,покачай ребенка.
5120,xas,i uja kuʔpiam. ,и охотилась.
5121,kjh,"[kau1916f] чаах, чалдап саптырдым, ам сыдабас.","[kau1916f] нет, нанимала косить, теперь не осилю."
5122,kjh,теерчетсін.,собирал бы.
5123,kjh,то имӌектең пір ӧрекенмең килібісчең полғам.,как-то с имекской одной старушкой возвращалась.
5124,xas,"no, (kanaʔ=) kangaʔ kudajzʼiʔ. ","ну, идите с богом."
5125,kjh,"мының алдында андағ закон полар че, больница чох.","раньше такой закон был, без больницы."
5126,evn,"олдонвэн — продуктэлэ эмэвупкӣл, олдонвэн һурувупкӣл","рыбу — продукты привозят, рыбу увозят"
5127,xas,šində (kulil-) kulaʔbə bar dʼorlaʔbə. ,"кто его увидит, плачет."
5128,xas,dĭ multuk. ,это ружье.
5129,kjh,"[zgb1935f] ам даа бе <чуртабин зе на>, аны нимезі, взрывчаткамаң ӧдірерге нізе.","[zgb1935f] и до сих пор живет, находящуюся там, ее ведь взрывчаткой убить (надо)."
5130,xas,"komu červəʔi ((dmg)) (oʔbdəbiam, büzʼiʔ) (dĭm) (mazə-) bəzəbiam. ","я собрала красных червей, водой [их] помыла."
5131,xas,tüj jakšə bar amnolaʔbəʔjə. ,теперь же [все] хорошо живут. 
5132,kjh,[asc1933f] э-э?,[asc1933f] а-а?
5133,mhr,"шарналташ, кузе мо","вспомнить, как что,"
5134,kjh,"а-а, пір аалда даа ікі пасха чоохтасчалар.","а, в одной деревне даже по-разному говорят."
5135,mhr,шешке пуртымышт годым,на женитьбе его сына
5136,kjh,"анаң, чаблахты чулчатса, чаблахты пірер кӧнек тӱбіне сал килзе, ол даа чаблахты хағыпчан полғаннар.","потом, когда картошку выкапываешь, картошку по одному ведру на дне принесёшь, даже эту картошку вытряхивали."
5137,kjh,а пір дее пыро таппааннар.,а никакой вины не нашли.
5138,kjh,"мал тутчанда, мал соғыбысчазың.","когда скот держишь, скот колешь."
5139,evn,гедӯ кэргэндӯ hунңту оронңӣтын hамилкин.,в другой семье другая отметка у оленей.
5140,kjh,чибiргi чыл <тоғынған> полам мин доярка.,двадцать лет работала я дояркой.
5141,bak,"min šundaj eškä töštöm =dä, ešläj bašlanəm... räsem uqətəwsəhə buləp.",я устроилась на эту работу и начала работать... учителем рисования.
5142,xas,"ĭmbi tăn măna ej nörbəbiel?"" ",почему ты мне раньше не сказал?»
5143,xas,jakšə bar … ,хорошо…
5144,evn,hуксиллалди гиркудяча̄вун.,мы ходили на камусных лыжах.
5145,kjh,"а позы пичеғолзе, карагайзе чӧгет садарға сығыбысхан полтыр, а мынызы пыдырах пазынзары чіӌең име аларға.","а сам, оказывается, по печеголу, карагаю вышел дёготь продавать, а этот в начало бутрахтов продукты купить."
5146,evn,ну и...,ну и...
5147,kjh,"«ол» тіпчем, тугу ниме, «хоостап… хоостап салған» тіпчем «кӧріп ал и ит пирер».","«он» говорю, это, «нарисовал» говорю, «посмотри и сделает»."
5148,mhr,но колен омыл.,но не умерла.
5149,evn,"опять амӣм, опять минэ хурупден.",опять отец меня везет.
5150,kjh,"кип-азах-то полған ма анаң, худай.","одежда-то была разве, господи."
5151,xas,măn dĭgən amnolam. ,я там живу.
5152,xas,"tibizeŋ šobiʔi: nada, măndə, băʔsittə dĭ amnut. ","мужчины пришли: надо, говорят, отрезать рог."
5153,kjh,паза полбин ол арағаларды чух салғам.,"не выдержав, эту водку я спрятала."
5154,xas,"""ădnakă kalam dĭʔnə tibinə"". ","""а все-таки я выйду за него замуж""."
5155,xas,"măndə:"" ĭmbi tăn udandə?"" ","[царевна] говорит: ""что у тебя на руке?"""
5156,bak,šunan nej оказывается ul šunəhə unəŋ nəq fajðalə bulɣan ikän kešeneŋ organizməna.,"потом это, оказывается, вот его этот очень полезный был для человеческого организма."
5157,kjh,ікі хати ызи пирген сӱтті.,два раза отправляла молоко.
5158,xas,((brk)) ,
5159,xas,a dettə gibər? ,а потом куда?
5160,evn,курē утэ̄лэптыдук ючал давно тар [нрзб].,давно вышли из огорода.
5161,xas,"""kanžəbəj, miʔ tüjö (sürerli̮- sürerli̮-) (sürerluʔpi) miʔ sapkuzi"". ","«пойдём, мы её косой прогоним»."
5162,xas,"nab nʼergölaʔ šobi, bünə saʔməluʔpi. ","прилетела утка, села на воду."
5163,kjh,сарнап пиріңер.,спойте.
5164,bak,"min ujlanəm ujlanəm =da, magistraturaɣa uqərɣa barərɣa buldəm, läkin ekzamendarðə сдавать itmäj, ällä niŋä, qajttəm =da kittem.","я думала-думала и решила пойти учиться в магистратуру, но почему-то я не стала сдавать экзамены и вернулась [домой]."
5165,kjh,анаң боргояков кем полған…,потом боргояков этот был…
5166,kjh,"[mvk1924f] та иткен ол, та сурирӌых мин аны, тоғасса, «талған иттің ме син ам?» тіп.","[mvk1924f] то ли делала, да спросила бы я её, при встрече (если встретила бы), «талкан делала ли ты вот?»"
5167,mhr,тулеч вара пагарем ик ганат корштен огыл.,после этого желудок ни разу не болел.
